,Biden_2020,Total_2020,Other_2020,Perc_Other_2020,Perc_Biden_2020,age_over_18_2019,age_over_65_2019,asian_2019,avg_family_size_2019,bachelors_2019,black_2019,hispanic_2019,households_speak_limited_english_2019,hs_grad_2019,median_age_2019,native_2019,other_single_race_2019,pac_isl_2019,per_capita_income_2019,pop_2019,two_plus_races_2019,unemployment_rate_2019,uninsured_2019,veterans_2019,white_2019,white_not_hispanic_2019,Winner_2020
190,440808,718290,18077,0.025166715393503958,0.6136908490999458,76.2,13.7,15.7,3.38,30.9,9.8,23.2,6.5,87.7,36.2,0.7,7.9,1.1,32751,1524553,7.5,6.1,5.5,6.7,57.3,44.7,Biden
191,17628,28821,603,0.02092224419693972,0.6116373477672531,74.0,12.5,3.0,3.66,19.7,0.8,59.8,8.5,80.5,35.7,0.7,8.5,0.1,33174,60376,5.3,6.3,7.5,5.9,81.6,34.3,Biden
192,455859,840931,18815,0.022374011660885373,0.5420884709922693,73.4,11.3,7.2,3.76,21.0,8.3,53.3,6.7,80.0,33.3,0.8,17.2,0.3,25215,2149031,5.0,7.0,8.4,5.8,61.2,28.5,Biden
193,964650,1601722,36978,0.023086403258493093,0.6022580697524289,78.2,13.7,11.9,3.43,38.8,5.0,33.7,6.3,87.4,35.8,0.7,6.0,0.4,38073,3316073,5.2,5.6,7.8,8.6,70.7,45.6,Biden
194,378156,443458,8885,0.0200357192789396,0.8527436645634987,86.6,15.4,34.4,3.11,58.1,5.2,15.2,11.2,88.5,38.2,0.4,7.7,0.4,68883,874961,5.6,4.0,3.7,3.1,46.4,40.5,Biden
195,161137,288443,6208,0.021522449842776625,0.5586441688652524,72.7,12.5,15.6,3.69,18.8,7.0,41.4,8.3,79.3,34.3,0.6,8.8,0.6,27521,742603,10.9,7.1,6.4,5.4,56.5,31.8,Biden
196,88310,159681,3935,0.024642881745480016,0.5530401237467201,82.2,19.4,3.6,2.98,35.4,1.9,22.5,2.6,91.3,39.2,0.9,4.3,0.1,37233,282165,3.7,3.6,6.0,7.3,85.5,68.9,Biden
197,291410,374138,7165,0.019150687714159037,0.7788837273947046,79.2,15.8,28.7,3.36,51.0,2.3,24.4,8.3,89.6,39.7,0.4,11.0,1.4,61545,767423,5.7,3.6,4.2,4.1,50.6,39.2,Biden
198,129963,200288,4589,0.022912006710337163,0.6488806119188368,77.7,15.0,5.6,3.41,34.2,2.0,45.4,8.1,80.9,33.8,1.0,9.5,0.1,36039,444829,4.2,5.2,10.0,6.1,77.5,44.5,Biden
199,617967,850522,17943,0.02109645605874977,0.7265737982086296,77.8,13.2,36.5,3.42,52.4,2.5,25.5,10.6,88.4,37.1,0.5,10.5,0.4,56248,1927470,5.2,4.1,4.3,3.4,44.5,31.5,Biden
